Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso,8.5075E-19,4.7754E-18,-0.0125,0,0,0,0.7095,0.0040278,-1.3734E-18,1.4544E-20,0.00093655,3.3863E-20,0.0048904,0,0,0,0,0,0,package://ToeLockModel/meshes/torso.STL,0,0.6,0,1,0,0,0,0,0,0,package://ToeLockModel/meshes/torso.STL,,사본 Allex_Pelvis^AASM_Allex_RL_Model-1,좌표계0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hy,-0.030764,8.8216E-05,0.046404,0,0,0,0.36274,0.0010582,6.1155E-07,0.00030675,0.0012161,1.2449E-06,0.00068184,0,0,0,0,0,0,package://ToeLockModel/meshes/r_hy.STL,0,0.6,1,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_hy.STL,,사본 Allex_Hip^AASM_Allex_RL_Model-2,좌표계1,기준축1,R_HY,revolute,0,-0.09,-0.025,3.1416,0,0,torso,0,0,1,1,1,-1,1,,,,,,,,
r_hr,0,0,0.08858,0,0,0,1.1197,0.0024466,-8.817E-21,1.7716E-19,0.0025581,2.0424E-19,0.0023292,0,0,0,0,0,0,package://ToeLockModel/meshes/r_hr.STL,0.50588,0.71373,0.76863,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_hr.STL,,사본 Allex_Hip_Pivot^AASM_Allex_RL_Model-2,좌표계2,기준축2,R_HR,revolute,-0.065,-0.0001,0.13,0,1.5708,0,r_hy,0,0,1,1,1,-1,1,,,,,,,,
r_hp,-0.19164,-0.025564,-1.3878E-17,0,0,0,4.3838,0.013597,0.0026248,2.2179E-18,0.039726,-4.3803E-19,0.038733,0,0,0,0,0,0,package://ToeLockModel/meshes/r_hp.STL,0.8,0.8,0.2,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_hp.STL,,사본 Allex_Thigh^AASM_Allex_RL_Model-2,좌표계3,기준축3,R_HP,revolute,0,0,0.09,-1.5708,0,0,r_hr,0,0,-1,1,1,-1,1,,,,,,,,
r_kn,-0.0132,-0.12192,0,0,0,0,2.7781,0.028471,0.002151,3.4022E-19,0.0044377,1.1352E-18,0.029309,0,0,0,0,0,0,package://ToeLockModel/meshes/r_kn.STL,0.76471,0.87843,0.74118,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_kn.STL,,사본 Allex_Shin^AASM_Allex_RL_Model-2,좌표계4,기준축4,R_KN,revolute,-0.35,0,0,3.1416,0,1.5708,r_hp,0,0,1,1,1,-1,1,,,,,,,,
r_ak,-0.0066092,0.0038158,-1.3878E-17,0,0,0,0.057183,3.2419E-05,1.0068E-06,2.5549E-22,3.3581E-05,-2.1967E-22,1.0658E-05,0,0,0,0,0,0,package://ToeLockModel/meshes/r_ak.STL,0.4,0.2,0.8,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_ak.STL,,사본 Allex_Ankle^AASM_Allex_RL_Model-2,좌표계5,기준축5,R_AK,revolute,0,-0.36,0,0,0,0,r_kn,0,0,-1,1,1,-1,1,,,,,,,,
r_ft,-0.043727,6.5593E-11,-0.012271,0,0,0,0.16769,0.00046347,1.1839E-10,0.00019384,0.00056609,7.793E-11,0.00017259,0,0,0,0,0,0,package://ToeLockModel/meshes/r_ft.STL,0.86275,0.8902,0.60392,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_ft.STL,,사본 Allex_Foot^AASM_Allex_RL_Model-2,좌표계6,기준축6,R_FT,revolute,-0.028579,0.0165,0,-1.5708,0,1.0472,r_ak,0,0,-1,1,1,-1,1,,,,,,,,
r_hill,0.017317,1.0258E-08,0.0038485,0,0,0,0.053724,1.3873E-05,-3.5235E-10,3.2749E-06,2.0885E-05,-1.3453E-10,2.8983E-05,0,0,0,0,0,0,package://ToeLockModel/meshes/r_hill.STL,0.2549,0.21569,0.19216,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_hill.STL,,사본 Allex_Heel_Pad^AASM_Allex_RL_Model-2,좌표계15,,R_HILL,fixed,-0.03162,0,-0.11123,0,-1.0472,3.1416,r_ft,0,0,0,,,,,,,,,,,,
r_to,-0.031098,-0.019401,2.3592E-16,0,0,0,0.10163,9.6374E-05,-2.937E-06,-6.4054E-19,0.00015597,-2.6322E-19,7.4864E-05,0,0,0,0,0,0,package://ToeLockModel/meshes/r_to.STL,1,0,0,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_to.STL,,사본 Allex_Toe^AASM_Allex_RL_Model-2,좌표계7,,R_TO,fixed,-0.083481,0,0.048593,1.5708,1.0472,0,r_ft,0,0,0,1,1,-1,1,,,,,,,,
r_tp,0.0063897,-1.2165E-08,0.0097515,0,0,0,0.085652,4.9901E-05,-5.8448E-09,-1.7648E-06,5.3727E-05,-8.9586E-11,9.9684E-05,0,0,0,0,0,0,package://ToeLockModel/meshes/r_tp.STL,0.2549,0.21569,0.19216,1,0,0,0,0,0,0,package://ToeLockModel/meshes/r_tp.STL,,사본 Allex_Toe_Pad^AASM_Allex_RL_Model-2,좌표계16,,R_TP,fixed,-0.028,-0.043,0,1.5708,0,3.1416,r_to,0,0,0,,,,,,,,,,,,
