Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso,2.98461073025586E-19,1.19384429210234E-18,-0.0125,0,0,0,0.709500353486371,0.00402779036050359,-1.31282094699689E-18,-4.46062750606306E-21,0.000936545497263993,4.78673307497893E-20,0.00489042957094609,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/torso.STL,0,0.6,0,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/torso.STL,,사본 Allex_Pelvis^AASM_Allex_RL_Model-1,좌표계0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hy,-0.0307639653073301,8.82162740574594E-05,0.0464042856123114,0,0,0,0.362744860196153,0.00105819813154338,6.1155311016537E-07,0.00030674608676831,0.00121612939375434,1.24493713959402E-06,0.000681837117020169,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_hy.STL,0,0.6,1,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_hy.STL,,사본 Allex_Hip^AASM_Allex_RL_Model-2,좌표계1,기준축1,R_HY,revolute,0,-0.09,-0.025,3.1416,0,0,torso,0,0,1,1,1,-1,1,,,,,,,,
r_hr,-2.77555756156289E-17,1.38777878078145E-17,0.0885796185674785,0,0,0,1.11972125547743,0.00244660588868756,3.10110708676493E-20,1.17621443249376E-19,0.00255806559374616,9.37515801654521E-20,0.00232918495386242,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_hr.STL,0.505882352941176,0.713725490196078,0.768627450980392,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_hr.STL,,사본 Allex_Hip_Pivot^AASM_Allex_RL_Model-2,좌표계2,기준축2,R_HR,revolute,-0.065,-0.0001,0.13,0,1.5708,0,r_hy,0,0,1,1,1,-1,1,,,,,,,,
r_hp,-0.191641753523999,-0.0255643148439554,-1.38777878078145E-17,0,0,0,4.38379685452695,0.013597099564388,0.00262481922506059,2.41083693741826E-18,0.0397258328465048,-5.49455936856799E-19,0.0387332411800925,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_hp.STL,0.8,0.8,0.2,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_hp.STL,,사본 Allex_Thigh^AASM_Allex_RL_Model-2,좌표계3,기준축3,R_HP,revolute,0,0,0.09,-1.5708,0,0,r_hr,0,0,-1,1,1,-1,1,,,,,,,,
r_kn,-0.0132004609210514,-0.121917216922937,-1.38777878078145E-17,0,0,0,2.77807025175996,0.0284705025097801,0.0021509799289004,3.26950356231998E-19,0.00443774640925794,1.23342854570958E-18,0.0293092079805787,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_kn.STL,0.764705882352941,0.87843137254902,0.741176470588235,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_kn.STL,,사본 Allex_Shin^AASM_Allex_RL_Model-2,좌표계4,기준축4,R_KN,revolute,-0.35,0,0,3.1416,0,1.5708,r_hp,0,0,1,1,1,-1,1,,,,,,,,
r_ak,-0.00660924567798125,0.00381584977132277,0,0,0,0,0.0571830748904514,3.24188467240926E-05,1.00684067870316E-06,-6.61850308358951E-22,3.35814461978533E-05,6.2268614446775E-22,1.06578672815214E-05,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_ak.STL,0.4,0.2,0.8,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_ak.STL,,사본 Allex_Ankle^AASM_Allex_RL_Model-2,좌표계5,기준축5,R_AK,revolute,0,-0.36,0,0,0,0,r_kn,0,0,-1,1,1,-1,1,,,,,,,,
r_ft,-0.0437269069802954,6.55927812065471E-11,-0.0122712934836515,0,0,0,0.167694950970076,0.000463468397555933,1.18394527736474E-10,0.000193843083754541,0.00056608822654417,7.7930232693903E-11,0.000172594872419313,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_ft.STL,0.862745098039216,0.890196078431372,0.603921568627451,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_ft.STL,,사본 Allex_Foot^AASM_Allex_RL_Model-2,좌표계6,기준축6,R_FT,revolute,-0.028579,0.0165,0,-1.5708,0,1.0472,r_ak,0,0,-1,1,1,-1,1,,,,,,,,
r_hill,0.0173165306391366,1.02576670352184E-08,0.00384851618045801,0,0,0,0.053723653115331,1.38734408575951E-05,-3.52345617755245E-10,3.27493108847666E-06,2.08845419448926E-05,-1.34533835804723E-10,2.8983404841045E-05,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_hill.STL,0.254901960784314,0.215686274509804,0.192156862745098,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_hill.STL,,사본 Allex_Heel_Pad^AASM_Allex_RL_Model-2,좌표계15,,R_HILL,fixed,-0.03162,0,-0.11123,0,-1.0472,3.1416,r_ft,0,0,0,,,,,,,,,,,,
r_to,-0.0310979349915773,-0.0194013791754151,2.4980018054066E-16,0,0,0,0.101633574321567,9.63743613409718E-05,-2.93700603292254E-06,-6.40746857179009E-19,0.000155974991616352,-2.62390456486307E-19,7.48643237352165E-05,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_to.STL,1,0,0,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_to.STL,,사본 Allex_Toe^AASM_Allex_RL_Model-2,좌표계7,기준축7,R_TO,revolute,-0.083481,0,0.048593,1.5708,1.0472,0,r_ft,0,0,-1,1,1,-1,1,,,,,,,,
r_tp,0.0063897,-1.2165E-08,0.0097515,0,0,0,0.085652,4.9901E-05,-5.8448E-09,-1.7648E-06,5.3727E-05,-8.9586E-11,9.9684E-05,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_tp.STL,0.2549,0.21569,0.19216,1,0,0,0,0,0,0,package://Allex_RL_Model_4_contact_point/meshes/r_tp.STL,,사본 Allex_Toe_Pad^AASM_Allex_RL_Model-2,좌표계16,,R_TP,fixed,-0.028,-0.043,0,1.5708,0,3.1416,r_to,0,0,0,,,,,,,,,,,,
